1,4.175633987,-0.285908497,-0.962856209
5,2.804633987,0.066091503,-1.306856209
5,2.662633987,1.580091503,-1.430856209
6,2.630633987,2.293091503,-0.431856209
6,1.801633987,-0.460908497,-0.260856209
1,2.037633987,-1.852908497,-0.024856209
5,0.377633987,-0.284908497,-0.756856209
6,2.564633987,-0.382908497,-2.270856209
6,1.929633987,0.090091503,0.671143791
6,2.639633987,-1.954908497,0.716143791
6,4.803633987,0.074091503,-1.667856209
17,4.263633987,-1.290908497,-0.915856209
16,4.410633987,0.114091503,-0.065856209
1,-0.318366013,-0.661908497,-0.006856209
5,0.245633987,-0.839908497,-1.685856209
6,0.182633987,0.773091503,-0.933856209
